iter	RMSE
0	5.833257499
1	5.822567886
2	5.812622429
3	5.800656678
4	5.78966883
5	5.777850782
6	5.767333995
7	5.754151068
8	5.744400665
9	5.734687594
10	5.728055853
11	5.717331822
12	5.706403865
13	5.69629756
14	5.685662993
15	5.67562535
16	5.664585254
17	5.653194379
18	5.643750785
19	5.631633053
20	5.621865791
21	5.611339405
22	5.601880219
23	5.594261295
24	5.583538426
25	5.574292137
26	5.564603443
27	5.556419907
28	5.547663419
29	5.537856808
30	5.528277301
31	5.518242952
32	5.509222976
33	5.500181645
34	5.489911948
35	5.481871874
36	5.47288109
37	5.465191248
38	5.453227698
39	5.444473286
40	5.434266433
41	5.426283261
42	5.418810965
43	5.411356035
44	5.402570359
45	5.394343857
46	5.38362694
47	5.37363352
48	5.36390818
49	5.353795391
50	5.345993439
