iter	Passed	Remaining
0	16	3234
1	30	3033
2	45	2988
3	60	2955
4	74	2907
5	99	3220
6	118	3271
7	137	3305
8	156	3329
9	172	3279
10	187	3216
11	202	3165
12	216	3120
13	231	3079
14	247	3048
15	261	3002
16	275	2970
17	290	2936
18	304	2904
19	319	2877
20	334	2854
21	350	2832
22	364	2808
23	379	2783
24	394	2762
25	409	2741
26	424	2719
27	439	2697
28	453	2672
29	467	2650
30	482	2631
31	497	2610
32	511	2587
33	526	2568
34	540	2546
35	553	2523
36	568	2503
37	581	2480
38	596	2462
39	610	2443
40	624	2421
41	639	2404
42	654	2389
43	669	2373
44	683	2355
45	697	2335
46	712	2319
47	727	2303
48	741	2283
49	755	2267
50	769	2247
51	783	2228
52	798	2214
53	812	2197
54	827	2182
55	843	2167
56	857	2152
57	872	2135
58	886	2118
59	900	2101
60	914	2084
61	928	2067
62	942	2049
63	957	2033
64	979	2033
65	993	2016
66	1007	2000
67	1023	1986
68	1037	1970
69	1052	1955
70	1067	1939
71	1082	1924
72	1096	1907
73	1110	1890
74	1125	1875
75	1139	1859
76	1154	1844
77	1169	1828
78	1183	1812
79	1198	1797
80	1212	1781
81	1227	1765
82	1241	1750
83	1256	1734
84	1271	1720
85	1287	1706
86	1302	1691
87	1316	1675
88	1330	1659
89	1344	1642
90	1359	1628
91	1373	1612
92	1387	1596
93	1402	1581
94	1416	1566
95	1431	1550
96	1446	1535
97	1460	1520
98	1475	1504
99	1489	1489
100	1503	1474
101	1518	1459
102	1533	1444
103	1547	1428
104	1562	1413
105	1576	1398
106	1591	1383
107	1607	1369
108	1621	1353
109	1636	1338
110	1649	1322
111	1664	1307
112	1679	1292
113	1693	1277
114	1708	1262
115	1722	1247
116	1737	1232
117	1751	1217
118	1766	1202
119	1780	1187
120	1795	1172
121	1809	1156
122	1823	1141
123	1838	1126
124	1854	1112
125	1868	1097
126	1882	1082
127	1896	1066
128	1911	1051
129	1926	1037
130	1940	1022
131	1954	1007
132	1968	991
133	1982	976
134	1998	962
135	2013	947
136	2028	932
137	2043	918
138	2057	902
139	2071	887
140	2086	873
141	2101	858
142	2115	843
143	2129	828
144	2142	812
145	2157	798
146	2171	782
147	2186	768
148	2200	753
149	2214	738
150	2228	723
151	2243	708
152	2258	693
153	2272	678
154	2287	664
155	2302	649
156	2317	634
157	2331	619
158	2346	605
159	2361	590
160	2375	575
161	2390	560
162	2404	545
163	2419	531
164	2433	516
165	2447	501
166	2462	486
167	2477	471
168	2491	457
169	2505	442
170	2520	427
171	2534	412
172	2548	397
173	2563	383
174	2578	368
175	2592	353
176	2606	338
177	2620	323
178	2634	309
179	2648	294
180	2662	279
181	2677	264
182	2692	250
183	2705	235
184	2720	220
185	2734	205
186	2748	191
187	2763	176
188	2778	161
189	2792	146
190	2806	132
191	2820	117
192	2836	102
193	2850	88
194	2864	73
195	2879	58
196	2893	44
197	2907	29
198	2921	14
199	2936	0
